trace_id;activity_ids
173688;4,5,6,7,8,9,10,11,12,13,14,15,16,17,16,17,16,18,19,17,20,21,22,23,24,25
173691;4,5,6,7,8,15,8,9,11,10,12,13,14,15,16,17,16,10,26,12,13,14,17,16,17,16,18,19,17,20,25,20,25,20,23,22,21,24,25
173694;4,5,6,7,8,15,8,15,8,15,8,9,11,10,12,13,14,15,16,10,26,12,13,14,17,16,17,16,17,16,17,16,10,26,12,13,14,17,16,17,16,17,16,17,16,17,16,17,16,18,19,17,20,23,22,21,24,25,27
173715;4,5,6,7,8,15,8,9,10,11,12,13,14,15,16,17,16,18,19,17,20,28,29,25
173718;4,5,6,7,8,9,11,10,12,13,14,15,16,17,16,10,26,12,13,14,17,16,17,16,17,16,17,16,18,19,17,20,30,25,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,19,32,20,30,25,31,32,31,32,31,32,31,32,31,19,32,20,23,22,21,24,25
173721;4,5,6,7,8,9,10,11,12,13,14,15,16,17,16,17,16,17,16,18,19,17,20,30,25,31,32,31,32,31,32,31,29,28,32
173730;4,5,6,7,8,15,8,15,8,15,8,9,10,11,12,13,14,15,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,18,19,17,20,30,25,31,32,31,32,31,32,31,19,32,20,30,25,31,32,31,19,32,20,30,25,31,32,31,32,31,19,32,20,25,20,25,20,23,24,21,22,25
173736;4,5,6,7,8,15,8,15,8,9,11,10,12,13,14,15,16,10,26,12,13,14,17,16,18,19,17,20,30,25,31,32,31,32,31,32,31,10,26,12,13,30,32,31,32,31,18,19,32,20,23,22,21,24,25
173739;4,5,6,7,8,15,8,15,8,9,10,11,12,13,14,15,16,17,16,17,16,18,19,17,20,25,20,30,25,31,32,31,32,31,32,31,32,31,32,31,19,32,20,23,21,22,24,25
173745;4,5,33,34,6,7,35,8,9,10,11,12,13,14,15,16,26,36,17
173748;4,5,33,34,6,7,35,8,15,8,15,8,15,8,15,8,9,11,10,12,13,14,15,16,17,16,26,10,12,13,14,17,16,17,16,28,29,17
173751;4,5,6,7,8,15,8,9,11,10,12,13,14,15,16,18,19,17,20,23,21,24,22,25
173760;4,5,6,7,8,9,11,10,12,13,14,15,16,17,16,17,16,18,19,17,20,22,24,21,23,25
173784;4,5,6,7,8,15,8,15,8,15,8,15,8,15,8,15,8,15,8,9,10,11,12,13,14,15,16,17,16,17,16,17,16,18,19,17,20,30,25,31,32,31,32,31,32,31,32,31,32,31,32,31,19,32,20,30,25,31,32,31,19,32,20,25,20,30,25,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,19,32,20,25,20,25,20,22,23,24,21,25
173787;4,5,6,7,8,9,10,11,12,13,14,15,16,26,10,12,13,14,17,16,17,16,17,16,17,16,17,16,17,16,17,16,36,26,17
173790;4,5,6,7,8,9,10,11,12,13,14,15,16,17,16,17,16,18,19,17,20,25,20,23,22,24,21,25
173793;4,5,6,7,8,15,8,9,10,11,12,13,14,15,16,17,16,17,16,18,19,17,20,30,25,31,19,32,20,25,20,23,21,24,22,25
173796;4,5,6,7,8,15,8,9,11,10,12,13,14,15,16,17,16,36,26,17
173805;4,5,6,7,8,15,8,9,10,11,12,13,14,15,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,17,36,26
173811;4,5,33,34,6,7,35,8,15,8,9,10,11,12,13,14,15,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,17,36,26
173817;4,5,6,7,8,9,10,11,12,13,14,15,16,26,10,12,13,14,17,16,17,16,18,19,17,20,28,29,25
173823;4,5,6,7,8,9,10,11,12,13,14,15,16,17,16,18,19,17,20,25,20,29,28,25
173835;4,5,6,7,8,15,8,15,8,9,10,11,12,13,14,15,16,17,16,17,16,17,16,17,16,17,16,36,26,17
173844;4,5,6,7,8,15,8,15,8,9,11,10,12,13,14,15,16,18,19,17,20,23,22,21,24,25
173847;4,5,6,7,8,9,11,10,12,13,14,15,16,18,19,17,20,29,28,25
173859;4,5,33,34,6,7,35,8,9,10,11,12,13,14,15,16,17,16,26,36,17
173868;4,5,6,7,8,15,8,9,11,10,12,13,14,15,16,17,16,17,16,17,16,18,19,17,20,29,28,25
173871;4,5,6,7,8,15,8,15,8,15,8,15,8,15,8,9,11,10,12,13,14,15,16,17,16,17,16,18,19,17,20,25,20,29,28,25
173880;4,5,33,34,6,7,35,8,15,8,9,11,10,12,13,14,15,16,17,16,17,16,17,16,17,16,17,16,18,19,17,20,25,20,30,25,31,32,31,26,10,12,13,30,32,31,32,31,32,31,32,31,18,19,32,20,23,22,21,24,25
173898;4,5,33,34,6,7,35,8,15,8,15,8,9,11,10,12,13,14,15,16,17,16,17,16,26,36,17
173913;4,5,6,7,8,9,11,10,12,13,14,15,16,17,16,17,16,18,19,17,20,25,20,23,24,22,21,25
173928;4,5,6,7,8,15,8,15,8,9,10,11,12,13,14,15,16,26,10,12,13,14,17,16,17,16,17,16,17,16,17,16,17,16,17,16,18,19,17,20,30,25,31,32,31,32,31,32,31,32,31,32,31,32,31,19,32,20,30,25,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,32,31,19,32,20,23,21,22,24,25
173940;4,5,6,7,8,15,8,15,8,9,10,11,12,13,14,15,16,18,19,17,20,30,25,31,32,31,32,31,32,31,19,32,20,30,25,31,32,31,32,31,19,32,20,23,22,21,24,25
