trace_id;activity_ids
1-593751721;5,6
1-593933571;5,6
1-594093101;5,5,5,4,4,5,6
1-594472343;5,5,5,6
1-594666837;5,6
1-594693527;5,6
1-594673056;5,6
1-595361681;5,6
1-595293983;4,5,6,5,6
1-595687232;5,5,5,5,6
1-596251950;5,5,5,6
1-596290771;5,5,5,5,6
1-596286562;5,6
1-596331167;5,4,5,5,6
1-596580941;5,4,5,5,5,6
1-596608752;5,5,6
1-596676011;4,5,6
1-596815491;5,6
1-597285812;5,5,5,6
1-597231167;5,5,5,5,4,5,6
1-597580752;5,5,5,5,6
1-597616526;5,6
1-598583993;5,4,5,6
1-599074651;5,5,6
1-599157751;5,4,5,4,5,6
1-599157997;5,4,5,5,5,6
1-599158067;5,4,5,5,6
1-599352141;5,6
1-599517681;5,5,5,6
1-599586617;5,4,5,6
1-599626401;4,5,5,6
1-600432558;5,5,5,6
1-600506847;5,4,5,4,4,5,5,4,5,4,5,5,4,5,6
1-600663061;5,4,5,6
1-600873076;5,6
1-601289432;5,5,5,6
1-601400851;5,4,5,4,5,6
1-601433623;5,6
1-601636752;5,6
1-601819090;5,5,5,5,6
1-602316021;5,5,5,6
1-602316067;5,5,5,6
1-602316153;5,4,5,5,6
1-602316201;5,6
1-602316215;5,5,6
1-602316249;5,6
1-602396115;5,5,6
1-602464818;5,6
1-602870173;5,4,5,4,5,5,5,4,5,5,5,6,5,4,5,5,4,5,6
1-603537274;5,5,5,5,5,6
1-603563148;5,6
1-603708003;5,6
1-603798757;5,6
1-604432843;5,6
1-604432860;5,6
1-604432887;5,6
1-604604928;5,5,6
1-604645912;5,4,5,4,5,5,6
1-604646378;5,6
1-604882241;5,4,5,4,5,4,5,6
1-605034229;5,5,6
1-605029866;5,5,6
1-605184371;5,5,5,5,5,5,6
1-605279637;5,6
1-605728578;5,5,6
1-606068287;5,4,4,4,5,5,6
1-606441115;5,5,6
1-606724483;5,4,5,5,6
1-606829317;5,4,5,6
1-606971198;5,5,5,5,5,6
1-607158761;5,5,4,5,6
1-607520800;5,5,6
1-607840637;5,6
1-607934151;5,6
1-608010054;5,4,5,6
1-608036754;4,4,5,5,5,6
1-608735919;5,5,5,6
1-609011164;5,4,5,6
1-609700424;5,5,5,6
1-611506787;5,5,6
1-611605221;5,5,6
1-611651603;5,5,5,6
1-611582327;5,6
1-611582394;5,6
1-611632212;5,5,5,6
1-611637278;5,6
1-612515539;5,4,5,4,5,5,6
1-613033122;5,5,5,6
1-613364032;5,5,5,4,5,4,5,6
1-613412559;5,6
1-613496066;5,4,5,5,6
1-613740745;5,6
1-614378697;5,4,5,6
1-614378787;5,4,5,6
1-614451236;5,6
1-615224713;5,6
1-615905511;5,5,6
1-616014042;5,6
1-616211466;5,5,4,4,5,5,5,6
1-616288482;5,5,5,5,5,5,6
1-616409083;5,6,5,6
1-616993936;5,4,5,4,5,6
1-616977258;5,5,5,6
1-617042441;5,4,5,4,5,5,5,6
1-617049384;5,6
1-617084616;5,5,6
1-617356985;5,6,5,5,4,5,6
1-617389027;5,5,6
1-617470131;5,5,4,5,5,5,6
1-617696569;5,6,5,6,5,6
1-618041243;5,4,5,5,6
1-618041343;5,4,5,4,5,6
1-618116069;5,4,5,5,6
1-618143224;5,4,5,5,6
1-618170625;5,5,5,6
1-618171180;5,5,6
1-618350811;5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,4,4,5,4,5,5,6
1-618283927;5,5,6
1-618620384;5,6
1-618764275;5,5,5,5,5,5,5,6
1-618589528;5,5,5,5,6
1-618859631;5,4,5,5,4,5,6,5,6
1-618883006;5,4,5,4,5,6
1-619067777;5,4,5,5,5,6
1-619053302;5,4,5,5,5,5,5,5,6
1-619087129;5,6
1-619109941;5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,5,5,6
1-619146141;4,5,4,5,5,5,6
1-619175501;5,5,6
1-619201265;5,5,5,6
1-619232031;5,5,6
1-619254483;5,6
