trace_id;activity_ids
1-686945977;4,4,4,6
1-687587336;4,6
1-687830906;4,6
1-688380091;4,4,5,4,4,4,4
1-688515611;4,4,4,6
1-688564824;4,4,5,4,4,6
1-688509388;4,4,6
1-688280019;5,4,4,4,6
1-689160381;4,4,6
1-689341321;4,6
1-689525975;4,4,6
1-689469104;5,5,5,4,6
1-690327801;4,6
1-690327837;4,6,4,6
1-690458151;4,6
1-690762471;5,5
1-690931471;4,5,4,6
1-691031201;4,6
1-691093464;4,6,4,5
1-691146566;4,6
1-691786096;4,5,4,4,6
1-691832225;4,6
1-688725917;5
1-693357728;4,6
1-693895885;4,4,4,6
1-675685459;5,4,6
1-675797761;5
1-694222066;4,5,4,5,4,4,6
1-686642441;4,4,6
1-694385837;4,6,4,6,4,4,6,4,6
1-694420679;4,6
1-694794065;4,4,4,6
1-694808152;4,6
1-660268091;5,4,6,4,6
1-694899814;5,4,6
1-695486321;4,5
1-695801720;4,6
1-695946177;4,6
1-696057890;4,6
1-693595201;5
1-696680265;4,5,5,4,4,6
1-696839978;4,4,6
1-697041731;4,4,6,4,6
1-697366925;4,6
1-606971198;4
1-696835891;5,4,6
1-697458590;4,5,4,5,4,4,4,4,6
1-697578650;4,6
1-697811404;4,5
1-698044001;4,5,4,4,6
1-698077265;4,6
1-698216063;4,5
1-698346154;4,4,6
1-698524631;4,6
1-698842669;4,4,6,4,6
1-699010040;4,6
1-698998499;4,5,5,5,4,4,6
1-699103215;4,5,4,5,4,5,4,4,6
1-700362905;4,6
1-701429911;4,4,4,4,6
1-595687232;4,6
1-682342767;4,6
1-702304430;4,6
1-702482271;5
1-703383433;4,4,6
1-703399394;4,5,4,6
1-703540157;4,5,5,4,5,5,4,5,4,5,4,4,5,4,6
1-704229584;4,6
1-704650867;4,5,4,5,4,4,6
1-691786330;4,6
1-703190797;4,5,4
1-704703712;4,5
1-704977245;4,5,5,5
1-699661601;5,4,6
1-700498223;5,4,5,4,5,4,4,4,6
1-705847575;4,6
1-706866666;4,6
1-706988783;4,6
1-707300171;4,4,5,5,5,4,5,4,4,4,6
1-707623601;4,4,6
1-707693471;4,6
1-707704098;4,6
1-708716045;4,6
1-709552565;4,5,4,5
1-710114300;4,5,4,4,5,4,5,4
1-710109531;4,6
1-712856449;4,5,4,6
1-713106267;4,4,6
1-715638561;4,5,4,6
1-716154984;5,4,6
1-717222893;4,5
1-717275094;4,5
1-718132104;4,6
1-719199254;4,4,6,4,6,4,6,4,6
1-719999163;4,6
1-720069371;4,4,4,4,4,4,6
1-722674364;4,5,5,5,4,5,4,5
1-722688743;4,5,4,6
1-726517211;4,4,5,4,5
1-726760342;4,4,6
1-726808501;4,6
1-728461114;4,4,6
1-728470722;4,4,4,4,6
