trace_id;activity_ids
Application_388048407;4,7,7,8,9,10,11,12,7,13,13,14,13,13,13,25,24,13
Application_388180276;4,7,7,8,9,10,11,12,7,13,13,14,13,10,11,12,13,13,13,13,25,24,24,13
Application_1777778139;4,7,7,8,9,7,7,7,10,11,10,11,12,12,7,13,13,14,13,10,11,10,11,12,12,13,13,13,15,15,16,17,15,15,18,18,19,18,18,18,18,18,18,18,18,18,18,15,15,16,15,15,18,18,19,18,18,18,20,21,18,24,24,24
Application_1779281635;4,8,7,7,7,7,7,9,10,11,12,7,13,13,14,13,13,13,13,15,15,16,17,15,15,18,18,19,18,15,15,16,15,20,21,15
Application_1879326807;4,8,7,7,7,7,7,9,10,11,12,7,13,13,14,13,13,13,13,15,15,16,17,15,15,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,20,21,18
Application_1529719459;4,7,7,8,9,7,10,11,10,11,12,12,7,13,13,14,24,24,10,11,10,11,12,12,13,13,13,13,15,15,16,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,19,18,18,18,18,18,18,15,15,16,15,15,15,15,15,15,15,15,15,20,21,15,24
Application_518506652;4,5,6,6,7,8,7,7,7,7,7,9,10,11,10,11,12,7,13,13,14,24,13,13,13,13,15,15,16,17,15,15,15,15,15,18,18,19,18,18,18,18,15,15,16,15,15,15,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,15,15,16,15,15,15,15,15,15,15,18,18,19,18,18,18,18,15,15,16,15,15,15,20,21,15
Application_328165702;4,5,6,6,7,8,9,10,11,12,7,13,13,14,13,13,13,13,13,25,24,13
Application_1019277788;4,7,7,8,9,10,11,26,7,13,13,14,24,10,11,12,13,13,13,25,24,13
Application_333772102;4,5,6,6,7,8,7,9,10,11,10,11,12,12,7,13,13,14,13,13,13,13,15,15,16,17,15,10,11,26,20,21,15,24,24
Application_2028903394;4,5,6,6,7,8,9,10,11,12,7,13,13,14,13,13,13,25,24,13
Application_835296163;4,5,6,6,7,8,7,9,10,11,12,7,13,13,14,13,13,13,13,15,15,16,17,15,15,18,18,19,18,18,18,18,15,15,16,15,15,20,21,15
