case:concept:name,concept:name,time:timestamp
case_0,c,2025-02-24 19:28:10.641053
case_0,b,2025-02-24 19:33:10.641053
case_0,b,2025-02-24 19:38:10.641053
case_0,a,2025-02-24 19:43:10.641053
case_0,a,2025-02-24 19:48:10.641053
case_0,c,2025-02-24 19:53:10.641053
case_0,b,2025-02-24 19:58:10.641053
case_0,c,2025-02-24 20:03:10.641053
case_0,c,2025-02-24 20:08:10.641053
case_0,c,2025-02-24 20:13:10.641053
case_0,c,2025-02-24 20:18:10.641053
case_0,c,2025-02-24 20:23:10.641053
case_0,a,2025-02-24 20:28:10.641053
case_0,b,2025-02-24 20:33:10.641053
case_0,a,2025-02-24 20:38:10.641053
case_0,b,2025-02-24 20:43:10.641053
case_0,a,2025-02-24 20:48:10.641053
case_0,a,2025-02-24 20:53:10.641053
case_0,c,2025-02-24 20:58:10.641053
case_0,c,2025-02-24 21:03:10.641053
case_1,c,2025-02-24 19:28:10.641095
case_1,a,2025-02-24 19:33:10.641095
case_1,a,2025-02-24 19:38:10.641095
case_1,a,2025-02-24 19:43:10.641095
case_1,c,2025-02-24 19:48:10.641095
case_1,c,2025-02-24 19:53:10.641095
case_1,a,2025-02-24 19:58:10.641095
case_1,a,2025-02-24 20:03:10.641095
case_1,c,2025-02-24 20:08:10.641095
case_1,b,2025-02-24 20:13:10.641095
case_1,a,2025-02-24 20:18:10.641095
case_1,c,2025-02-24 20:23:10.641095
case_1,a,2025-02-24 20:28:10.641095
case_1,a,2025-02-24 20:33:10.641095
case_1,a,2025-02-24 20:38:10.641095
case_1,b,2025-02-24 20:43:10.641095
case_1,b,2025-02-24 20:48:10.641095
case_1,b,2025-02-24 20:53:10.641095
case_1,b,2025-02-24 20:58:10.641095
case_1,a,2025-02-24 21:03:10.641095
case_2,c,2025-02-24 19:28:10.641128
case_2,b,2025-02-24 19:33:10.641128
case_2,c,2025-02-24 19:38:10.641128
case_2,a,2025-02-24 19:43:10.641128
case_2,b,2025-02-24 19:48:10.641128
case_2,c,2025-02-24 19:53:10.641128
case_2,a,2025-02-24 19:58:10.641128
case_2,a,2025-02-24 20:03:10.641128
case_2,a,2025-02-24 20:08:10.641128
case_2,b,2025-02-24 20:13:10.641128
case_2,b,2025-02-24 20:18:10.641128
case_2,a,2025-02-24 20:23:10.641128
case_2,c,2025-02-24 20:28:10.641128
case_2,b,2025-02-24 20:33:10.641128
case_2,c,2025-02-24 20:38:10.641128
case_2,c,2025-02-24 20:43:10.641128
case_2,b,2025-02-24 20:48:10.641128
case_2,c,2025-02-24 20:53:10.641128
case_2,a,2025-02-24 20:58:10.641128
case_2,a,2025-02-24 21:03:10.641128
case_3,c,2025-02-24 19:28:10.641160
case_3,b,2025-02-24 19:33:10.641160
case_3,a,2025-02-24 19:38:10.641160
case_3,b,2025-02-24 19:43:10.641160
case_3,c,2025-02-24 19:48:10.641160
case_3,c,2025-02-24 19:53:10.641160
case_3,b,2025-02-24 19:58:10.641160
case_3,c,2025-02-24 20:03:10.641160
case_3,b,2025-02-24 20:08:10.641160
case_3,c,2025-02-24 20:13:10.641160
case_3,c,2025-02-24 20:18:10.641160
case_3,b,2025-02-24 20:23:10.641160
case_3,b,2025-02-24 20:28:10.641160
case_3,c,2025-02-24 20:33:10.641160
case_3,a,2025-02-24 20:38:10.641160
case_3,b,2025-02-24 20:43:10.641160
case_3,c,2025-02-24 20:48:10.641160
case_3,c,2025-02-24 20:53:10.641160
case_3,a,2025-02-24 20:58:10.641160
case_3,c,2025-02-24 21:03:10.641160
case_4,c,2025-02-24 19:28:10.641192
case_4,c,2025-02-24 19:33:10.641192
case_4,a,2025-02-24 19:38:10.641192
case_4,c,2025-02-24 19:43:10.641192
case_4,b,2025-02-24 19:48:10.641192
case_4,b,2025-02-24 19:53:10.641192
case_4,b,2025-02-24 19:58:10.641192
case_4,a,2025-02-24 20:03:10.641192
case_4,b,2025-02-24 20:08:10.641192
case_4,b,2025-02-24 20:13:10.641192
case_4,c,2025-02-24 20:18:10.641192
case_4,c,2025-02-24 20:23:10.641192
case_4,b,2025-02-24 20:28:10.641192
case_4,b,2025-02-24 20:33:10.641192
case_4,b,2025-02-24 20:38:10.641192
case_4,c,2025-02-24 20:43:10.641192
case_4,c,2025-02-24 20:48:10.641192
case_4,b,2025-02-24 20:53:10.641192
case_4,c,2025-02-24 20:58:10.641192
case_4,b,2025-02-24 21:03:10.641192
case_5,c,2025-02-24 19:28:10.641225
case_5,a,2025-02-24 19:33:10.641225
case_5,b,2025-02-24 19:38:10.641225
case_5,a,2025-02-24 19:43:10.641225
case_5,b,2025-02-24 19:48:10.641225
case_5,c,2025-02-24 19:53:10.641225
case_5,a,2025-02-24 19:58:10.641225
case_5,b,2025-02-24 20:03:10.641225
case_5,b,2025-02-24 20:08:10.641225
case_5,a,2025-02-24 20:13:10.641225
case_5,a,2025-02-24 20:18:10.641225
case_5,a,2025-02-24 20:23:10.641225
case_5,c,2025-02-24 20:28:10.641225
case_5,b,2025-02-24 20:33:10.641225
case_5,c,2025-02-24 20:38:10.641225
case_5,c,2025-02-24 20:43:10.641225
case_5,c,2025-02-24 20:48:10.641225
case_5,b,2025-02-24 20:53:10.641225
case_5,c,2025-02-24 20:58:10.641225
case_5,c,2025-02-24 21:03:10.641225
case_6,c,2025-02-24 19:28:10.641256
case_6,a,2025-02-24 19:33:10.641256
case_6,c,2025-02-24 19:38:10.641256
case_6,b,2025-02-24 19:43:10.641256
case_6,b,2025-02-24 19:48:10.641256
case_6,b,2025-02-24 19:53:10.641256
case_6,c,2025-02-24 19:58:10.641256
case_6,b,2025-02-24 20:03:10.641256
case_6,c,2025-02-24 20:08:10.641256
case_6,b,2025-02-24 20:13:10.641256
case_6,c,2025-02-24 20:18:10.641256
case_6,a,2025-02-24 20:23:10.641256
case_6,b,2025-02-24 20:28:10.641256
case_6,c,2025-02-24 20:33:10.641256
case_6,a,2025-02-24 20:38:10.641256
case_6,a,2025-02-24 20:43:10.641256
case_6,b,2025-02-24 20:48:10.641256
case_6,a,2025-02-24 20:53:10.641256
case_6,a,2025-02-24 20:58:10.641256
case_6,b,2025-02-24 21:03:10.641256
case_7,c,2025-02-24 19:28:10.641287
case_7,a,2025-02-24 19:33:10.641287
case_7,a,2025-02-24 19:38:10.641287
case_7,b,2025-02-24 19:43:10.641287
case_7,a,2025-02-24 19:48:10.641287
case_7,a,2025-02-24 19:53:10.641287
case_7,b,2025-02-24 19:58:10.641287
case_7,a,2025-02-24 20:03:10.641287
case_7,b,2025-02-24 20:08:10.641287
case_7,a,2025-02-24 20:13:10.641287
case_7,c,2025-02-24 20:18:10.641287
case_7,b,2025-02-24 20:23:10.641287
case_7,b,2025-02-24 20:28:10.641287
case_7,c,2025-02-24 20:33:10.641287
case_7,a,2025-02-24 20:38:10.641287
case_7,b,2025-02-24 20:43:10.641287
case_7,a,2025-02-24 20:48:10.641287
case_7,b,2025-02-24 20:53:10.641287
case_7,c,2025-02-24 20:58:10.641287
case_7,c,2025-02-24 21:03:10.641287
case_8,c,2025-02-24 19:28:10.641318
case_8,a,2025-02-24 19:33:10.641318
case_8,b,2025-02-24 19:38:10.641318
case_8,a,2025-02-24 19:43:10.641318
case_8,a,2025-02-24 19:48:10.641318
case_8,b,2025-02-24 19:53:10.641318
case_8,b,2025-02-24 19:58:10.641318
case_8,a,2025-02-24 20:03:10.641318
case_8,c,2025-02-24 20:08:10.641318
case_8,c,2025-02-24 20:13:10.641318
case_8,b,2025-02-24 20:18:10.641318
case_8,b,2025-02-24 20:23:10.641318
case_8,a,2025-02-24 20:28:10.641318
case_8,a,2025-02-24 20:33:10.641318
case_8,a,2025-02-24 20:38:10.641318
case_8,a,2025-02-24 20:43:10.641318
case_8,b,2025-02-24 20:48:10.641318
case_8,c,2025-02-24 20:53:10.641318
case_8,c,2025-02-24 20:58:10.641318
case_8,a,2025-02-24 21:03:10.641318
case_9,c,2025-02-24 19:28:10.641353
case_9,b,2025-02-24 19:33:10.641353
case_9,c,2025-02-24 19:38:10.641353
case_9,c,2025-02-24 19:43:10.641353
case_9,c,2025-02-24 19:48:10.641353
case_9,b,2025-02-24 19:53:10.641353
case_9,b,2025-02-24 19:58:10.641353
case_9,a,2025-02-24 20:03:10.641353
case_9,a,2025-02-24 20:08:10.641353
case_9,b,2025-02-24 20:13:10.641353
case_9,a,2025-02-24 20:18:10.641353
case_9,c,2025-02-24 20:23:10.641353
case_9,a,2025-02-24 20:28:10.641353
case_9,c,2025-02-24 20:33:10.641353
case_9,a,2025-02-24 20:38:10.641353
case_9,b,2025-02-24 20:43:10.641353
case_9,a,2025-02-24 20:48:10.641353
case_9,b,2025-02-24 20:53:10.641353
case_9,b,2025-02-24 20:58:10.641353
case_9,c,2025-02-24 21:03:10.641353
case_10,c,2025-02-24 19:28:10.641384
