trace_id;activity_ids
case_0;4,4,4,5,4,5,5,4,6,6,4,5,5,4,4,5,4,6,4,4
case_1;5,4,6,6,5,6,5,5,4,6,6,5,6,6,6,4,5,4,6,5
case_2;4,6,6,6,4,6,5,4,4,5,4,5,4,5,6,5,4,5,6,6
case_3;5,6,5,5,6,4,4,6,6,6,5,6,6,5,6,6,6,6,5,4
case_4;5,5,5,5,4,4,4,4,6,4,5,5,5,6,5,6,5,4,4,6
case_5;5,5,4,5,4,6,6,4,6,5,5,5,5,6,4,4,4,4,6,6
case_6;4,5,5,5,6,4,6,6,6,4,6,4,6,5,5,5,6,4,4,4
case_7;4,6,5,4,5,4,4,5,4,6,6,5,6,4,4,4,6,4,4,6
case_8;4,6,6,6,6,6,4,4,6,4,5,5,6,4,6,5,6,5,6,6
case_9;5,4,5,6,6,6,6,6,4,5,5,4,5,4,6,4,4,5,5,4
case_10;4,6,5,6,4,4,4,6,4,4,4,5,5,4,5,5,4,4,5,4
case_11;4,5,6,5,5,6,4,6,6,5,5,4,5,5,6,4,4,6,6,4
case_12;5,6,6,5,6,4,6,6,4,4,5,5,4,5,5,6,4,5,6,5
case_13;5,5,4,4,6,5,5,5,4,4,5,5,5,5,6,6,6,6,4,4
case_14;4,5,5,4,5,4,6,5,4,4,4,6,5,4,6,4,6,4,5,4
case_15;4,4,5,4,6,6,5,6,6,5,4,4,5,4,5,4,5,4,5,5
case_16;5,4,4,5,6,5,5,5,6,6,6,5,6,5,5,6,4,4,5,4
case_17;5,4,4,5,5,4,6,5,5,5,5,6,5,5,5,4,6,6,5,6
case_18;4,6,6,6,6,5,6,5,4,5,6,5,5,5,6,5,4,6,4,5
case_19;4,5,4,5,5,4,5,5,5,4,6,4,4,6,6,5,4,4,5,4
case_20;5,5,6,4,4,5,5,6,5,6,6,6,5,4,6,4,6,6,5,5
case_21;5,4,5,4,4,5,4,4,5,4,5,6,4,5,4,6,4,5,6,4
case_22;5,5,5,5,5,5,5,6,6,6,6,5,5,6,6,5,4,4,5,4
case_23;5,6,4,4,6,6,4,4,5,5,4,6,6,6,5,5,6,5,4,6
case_24;4,5,4,4,5,4,4,4,5,5,4,5,4,6,4,5,5,6,4,4
case_25;5,5,4,6,4,4,4,5,5,5,5,4,5,5,6,5,5,4,6,4
case_26;5,4,5,6,5,4,4,4,6,4,4,4,6,4,4,5,4,6,5,6
case_27;5,4,6,5,5,4,6,4,6,4,4,4,5,4,6,4,6,4,5,6
case_28;4,5,6,4,5,5,6,4,6,4,5,6,6,6,6,5,6,6,6,5
case_29;4,6,4,4,5,4,5,5,4,4,6,5,4,6,5,4,6,6,5,5
case_30;4,6,4,6,4,5,4,6,4,6,5,4,4,4,4,4,5,5,6,4
case_31;4,4,4,6,5,5,4,6,6,4,4,5,4,6,6,5,5,4,4,4
case_32;4,5,6,6,6,4,5,4,4,5,5,5,4,6,4,5,4,5,5,6
case_33;5,6,6,5,6,4,4,4,4,4,6,6,6,4,5,4,4,6,4,4
case_34;5,6,4,5,6,5,6,4,5,4,6,4,6,4,4,6,6,6,4,6
case_35;4,6,6,5,6,5,5,6,5,6,4,5,4,6,4,4,5,5,5,5
case_36;5,5,6,4,5,4,5,6,6,5,5,4,5,4,6,5,4,6,6,4
