trace_id;activity_ids
Case3608;4,5,6,7,7
Case2748;4,5,6,7
Case4284;4,4,5,6,5,6,7,7
Case1534;4,5,6,7,7
Case406;4,4,5,6,7
Case4539;4,4,5,6,7
Case2118;4,5,6,7
Case3625;4,4,5,6,7
Case1621;4,5,6,7
Case390;4,5,6,7
Case1941;4,5,6,7
Case404;4,5,6,7
Case791;4,5,6,7
Case1485;4,5,6,7
Case1000;4,4,5,6,7
Case2915;4,4,5,6,7
Case1768;4,5,6,7
Case1006;4,5,6,7
Case2742;4,5,5,6,7
Case1223;4,5,6,5,6,7
Case1703;4,5,6,7
Case4505;4,5,6,7
Case2441;4,4,5,6,7
Case588;4,5,6,7
Case1400;4,5,6,7
Case1196;4,5,6,7
Case1468;4,4,5,6,7
Case189;4,4,5,6,7
Case4378;4,4,5,9,5,6,7
Case3806;4,5,9,5,6,6,7
Case1030;4,4,5,10,6,7
Case1798;4,5,10,6,7
Case2088;4,5,10,6,7
Case765;4,5,6,7
Case2131;4,5,6,7
Case1191;4,5,9,5,6,7
Case81;4,5,9,9,5,6,7
Case3918;4,5,6,7
Case899;4,5,10,6,5,10,6,7
Case1130;4,5,6,7
Case3849;4,5,6,6,7
Case360;4,5,6,7
Case3238;4,5,9,5,6,7,7
Case10;4,5,6,7
Case864;4,5,9,5,6,7
Case4290;4,5,6,7
Case2817;4,5,6,7
Case3168;4,5,6,7
Case151;4,5,6,7
Case1652;4,4,5,6,7
Case166;4,5,6,7
Case2933;4,5,6,7
Case2635;4,5,6,7
Case430;4,5,6,7
Case1352;4,5,6,7
Case2979;4,5,6,7
Case3332;4,5,6,7
Case2664;4,5,6,7
Case1399;4,5,6,7
Case3571;4,4,9,5,6,7
Case2865;4,5,6,7
Case2559;4,4,5,6,7
Case2383;4,5,6,7
Case3068;4,5,6,7
Case1701;4,4,5,6,7
Case4207;8,4,4,5,9,5,6,7
Case4392;4,4,5,6,7
Case707;4,5,6,7
Case1328;4,5,9,5,6,7
Case3185;4,5,10,6,7
Case2502;4,5,6,7
Case1257;4,5,6,7
Case2006;4,5,6,7
Case1907;4,5,6,5,9,5,6,7
Case2369;4,5,6,7
Case3482;4,4,5,9,5,6,7
Case2004;4,5,6,6,7
Case940;4,5,6,7
Case599;8,4,5,6,7
Case2387;5,6,6,6,7
Case3876;4,5,6,7
Case271;8,4,4,5,6,7
Case846;8,4,5,6,7
Case4108;4,5,6,7
Case3130;4,4,5,6,7
Case3389;4,5,6,7
Case3004;4,4,5,6,6,7
Case92;4,5,6,7
Case3084;4,4,5,6,7
Case2438;4,5,6,7
Case2297;8,4,5,6,7
Case2712;4,5,6,7
Case2680;4,5,6,7
Case3545;4,5,9,5,6,7
Case3597;4,5,6,7
Case4223;4,4,5,6,7
Case953;4,5,6,7
Case1245;4,5,9,5,6,5,9,5,10,6,5,6,7
Case2321;4,5,6,7
Case75;4,4,5,6,7
Case1789;4,4,5,6,7,7
Case3735;4,5,6,7
Case127;4,5,6,7
Case3724;4,5,6,7
Case800;4,5,6,7
Case4077;8,4,5,6,7
Case709;4,4,5,6,6,7
Case3187;4,4,5,6,6,7
Case90;4,5,6,7
Case2857;4,5,6,7
Case4078;4,5,6,7
Case2771;4,5,6,7
Case2282;4,5,6,7
Case3883;8,4,5,6,7
Case3203;4,5,6,7
Case2619;4,5,9,5,6,7
Case2874;4,5,6,7
Case1527;4,4,5,6,7
Case4168;4,5,6,7
Case2395;4,5,6,7
Case2410;4,5,6,7
Case2377;4,5,6,7
Case4336;4,5,9,5,6,7
Case1469;4,5,6,7
Case1472;4,5,9,5,9,5,6,7
Case609;4,4,5,6,7
Case3746;4,5,6,7
Case401;4,5,6,7
Case2683;4,5,6,7
Case259;4,4,5,6,7
Case2815;4,5,6,7
Case3149;4,5,6,7
Case2072;8,4,5,6,7
Case216;4,4,5,6,7
Case616;4,5,6,7
Case2804;4,5,6,7
Case3041;4,5,6,7
Case4577;4,5,6,7
Case3457;4,5,9,5,6,7
Case2570;4,5,6,7
Case2292;4,5,9,5,6,7
Case273;4,5,6,7
Case1770;8,4,5,10,6,7
Case2106;8,4,5,6,7
Case351;4,5,6,7
Case3261;4,5,6,7
Case2001;4,5,9,5,6,7
Case4507;8,4,5,6,7
Case1277;4,5,6,7
Case804;4,4,4,4,5,6,7
Case4358;4,5,6,7
Case2199;4,5,9,5,6,7
Case276;8,4,5,6,7
Case4496;8,4,5,6,7
Case2033;4,9,5,6,7
Case1394;4,5,6,7
Case3866;4,5,6,7
Case587;4,5,9,5,6,7
Case3316;4,5,6,5,6,7
Case4329;4,4,5,6,6,6,7
Case4008;4,5,9,5,6,7
Case3550;4,5,6,7
Case2745;8,4,5,6,5,6,6,7
Case4247;4,5,6,7
Case4412;8,4,5,6,7
