workgroup,product,servicetype,seriousness2,activity,resource,supportsection,servicelevel,responsiblesection,lifecycle:transition,timestamp,customer,case
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 1,Value 1,complete,2012-10-09 14:50:17+00:00,Value 1,Case 1
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 1,Value 1,Value 1,Value 1,complete,2012-10-09 14:51:01+00:00,Value 1,Case 1
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2012-10-12 15:02:56+00:00,Value 1,Case 1
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 1,Value 1,Value 2,Value 1,complete,2012-10-25 11:54:26+00:00,Value 1,Case 1
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2012-11-09 12:54:39+00:00,Value 1,Case 1
Value 3,Value 3,Value 1,Value 1,Assign seriousness,Value 2,Value 2,Value 3,Value 2,complete,2010-02-10 08:50:20+00:00,Value 10,Case 10
Value 3,Value 3,Value 1,Value 1,Take in charge ticket,Value 2,Value 2,Value 3,Value 2,complete,2010-03-19 08:47:06+00:00,Value 10,Case 10
Value 3,Value 3,Value 1,Value 1,Resolve ticket,Value 2,Value 2,Value 3,Value 2,complete,2010-03-19 08:47:13+00:00,Value 10,Case 10
Value 3,Value 3,Value 1,Value 1,Closed,Value 5,Value 2,Value 3,Value 2,complete,2010-04-03 07:47:38+00:00,Value 10,Case 10
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2013-04-12 10:25:17+00:00,Value 44,Case 100
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 9,Value 1,Value 2,Value 1,complete,2013-04-24 10:24:01+00:00,Value 44,Case 100
Value 1,Value 1,Value 1,Value 1,Require upgrade,Value 9,Value 1,Value 2,Value 1,complete,2013-04-24 15:51:11+00:00,Value 44,Case 100
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2013-05-15 13:21:00+00:00,Value 44,Case 100
Value 1,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-05-30 13:21:20+00:00,Value 44,Case 100
Value 1,Value 2,Value 1,Value 1,Assign seriousness,Value 4,Value 1,Value 2,Value 1,complete,2013-03-08 17:01:24+00:00,Value 239,Case 1001
Value 1,Value 2,Value 1,Value 1,Take in charge ticket,Value 4,Value 1,Value 2,Value 1,complete,2013-03-25 08:08:33+00:00,Value 239,Case 1001
Value 1,Value 2,Value 1,Value 1,Resolve ticket,Value 4,Value 1,Value 2,Value 1,complete,2013-03-28 10:31:21+00:00,Value 239,Case 1001
Value 1,Value 2,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2013-04-12 09:31:36+00:00,Value 239,Case 1001
Value 1,Value 3,Value 1,Value 1,Assign seriousness,Value 19,Value 1,Value 2,Value 1,complete,2010-08-25 10:36:10+00:00,Value 18,Case 1002
Value 1,Value 3,Value 1,Value 1,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2010-08-27 07:34:45+00:00,Value 18,Case 1002
Value 1,Value 3,Value 1,Value 1,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2010-08-27 08:42:25+00:00,Value 18,Case 1002
Value 1,Value 3,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2010-09-25 10:40:32+00:00,Value 18,Case 1002
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 8,Value 1,Value 2,Value 1,complete,2010-12-23 11:23:52+00:00,Value 20,Case 1003
Value 1,Value 1,Value 1,Value 2,Take in charge ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-01-11 07:55:50+00:00,Value 20,Case 1003
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 2,Value 1,complete,2011-01-20 10:59:03+00:00,Value 20,Case 1003
Value 1,Value 1,Value 1,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-02-04 10:59:20+00:00,Value 20,Case 1003
Value 1,Value 3,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-09-21 07:09:20+00:00,Value 27,Case 1004
Value 1,Value 3,Value 1,Value 1,Take in charge ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-09-26 08:52:05+00:00,Value 27,Case 1004
Value 1,Value 3,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-09-27 10:29:02+00:00,Value 27,Case 1004
Value 1,Value 3,Value 1,Value 1,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-10-22 07:10:49+00:00,Value 27,Case 1004
Value 1,Value 2,Value 1,Value 2,Assign seriousness,Value 8,Value 1,Value 1,Value 1,complete,2010-12-22 08:35:14+00:00,Value 83,Case 1005
Value 1,Value 2,Value 1,Value 2,Take in charge ticket,Value 2,Value 1,Value 1,Value 1,complete,2010-12-22 08:49:10+00:00,Value 83,Case 1005
Value 1,Value 2,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 1,Value 1,complete,2011-01-13 14:26:36+00:00,Value 83,Case 1005
Value 1,Value 2,Value 1,Value 2,Closed,Value 5,Value 1,Value 1,Value 1,complete,2011-02-18 08:40:43+00:00,Value 83,Case 1005
Value 1,Value 3,Value 1,Value 1,Assign seriousness,Value 2,Value 5,Value 2,Value 6,complete,2010-01-22 11:09:40+00:00,Value 255,Case 1006
Value 1,Value 3,Value 1,Value 1,Take in charge ticket,Value 2,Value 5,Value 2,Value 6,complete,2010-01-22 11:09:51+00:00,Value 255,Case 1006
Value 1,Value 3,Value 1,Value 1,Resolve ticket,Value 2,Value 5,Value 2,Value 6,complete,2010-01-22 11:09:59+00:00,Value 255,Case 1006
Value 1,Value 3,Value 1,Value 1,Closed,Value 5,Value 5,Value 2,Value 6,complete,2010-03-11 11:10:33+00:00,Value 255,Case 1006
Value 2,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2012-10-10 10:47:41+00:00,Value 256,Case 1007
Value 2,Value 1,Value 1,Value 1,Take in charge ticket,Value 9,Value 1,Value 2,Value 1,complete,2012-10-25 10:23:49+00:00,Value 256,Case 1007
Value 2,Value 1,Value 1,Value 1,Resolve ticket,Value 12,Value 1,Value 2,Value 1,complete,2012-11-12 08:37:18+00:00,Value 256,Case 1007
Value 2,Value 1,Value 1,Value 1,Closed,Value 3,Value 1,Value 2,Value 1,complete,2012-11-27 08:37:28+00:00,Value 256,Case 1007
Value 2,Value 3,Value 2,Value 2,Assign seriousness,Value 4,Value 1,Value 2,Value 1,complete,2011-10-25 14:35:19+00:00,Value 96,Case 1008
Value 2,Value 3,Value 2,Value 2,Take in charge ticket,Value 16,Value 1,Value 2,Value 1,complete,2011-10-26 07:19:46+00:00,Value 96,Case 1008
Value 2,Value 3,Value 2,Value 2,Resolve ticket,Value 16,Value 1,Value 2,Value 1,complete,2011-11-03 09:37:15+00:00,Value 96,Case 1008
Value 2,Value 3,Value 2,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2011-12-08 15:40:25+00:00,Value 96,Case 1008
Value 1,Value 1,Value 1,Value 1,Assign seriousness,Value 1,Value 1,Value 3,Value 1,complete,2012-05-18 12:11:25+00:00,Value 26,Case 1009
Value 1,Value 1,Value 1,Value 1,Take in charge ticket,Value 9,Value 1,Value 3,Value 1,complete,2012-05-18 14:23:17+00:00,Value 26,Case 1009
Value 1,Value 1,Value 1,Value 1,Wait,Value 9,Value 1,Value 3,Value 1,complete,2012-05-18 15:07:29+00:00,Value 26,Case 1009
Value 1,Value 1,Value 1,Value 1,Resolve ticket,Value 9,Value 1,Value 3,Value 1,complete,2012-05-22 07:53:06+00:00,Value 26,Case 1009
Value 1,Value 1,Value 1,Value 1,Closed,Value 5,Value 1,Value 3,Value 1,complete,2012-06-28 14:10:31+00:00,Value 26,Case 1009
Value 1,Value 3,Value 1,Value 1,Insert ticket,Value 15,Value 1,Value 2,Value 1,complete,2010-06-18 13:47:15+00:00,Value 18,Case 101
Value 1,Value 3,Value 1,Value 1,Assign seriousness,Value 15,Value 1,Value 2,Value 1,complete,2010-06-18 14:18:15+00:00,Value 18,Case 101
