trace_id;activity_ids
Case 4536;4,6,7
Case 4495;4,6,7
Case 3702;4,4,6,7
Case 2994;4,6,7
Case 2868;4,6,7
Case 1435;4,6,7
Case 213;4,6,7
Case 225;4,6,7
Case 2351;4,6,7
Case 1793;4,6,7
Case 1342;4,6,6,7
Case 2238;4,6,6,7
Case 347;4,6,6,7
Case 3137;4,4,4,6,7
Case 2212;4,6,7
Case 3617;4,6,7
Case 1225;4,6,7
Case 354;4,9,6,6,7
Case 4117;4,6,7
Case 1917;4,6,7
Case 2945;4,9,6,7
Case 1643;4,9,6,7
Case 1738;4,6,7
Case 3694;4,6,7
Case 4231;4,6,7
Case 1065;4,6,7
Case 4103;4,6,7
Case 550;4,6,7
Case 3540;4,6,7
Case 4479;4,6,7
Case 4291;4,6,7
Case 3942;4,6,7
Case 2775;4,4,6,7
Case 1525;4,6,7
Case 2406;4,6,7
Case 4085;4,4,6,7
Case 1458;4,6,7
Case 578;4,6,7
Case 2154;4,6,6,7
Case 1656;4,6,7
Case 1095;4,4,6,7
Case 3934;4,6,7
Case 2278;4,4,6,7
Case 3729;4,6,7
Case 181;4,6,7
Case 4139;4,6,7
Case 3803;4,4,6,7
Case 1715;4,6,7
Case 162;4,4,6,7
Case 2178;4,6,7
Case 2523;4,4,6,7
Case 279;4,6,7
Case 3207;4,6,6,7
Case 3347;4,6,6,7
Case 2270;4,6,7
Case 2763;4,6,6,7
Case 3162;4,6,7
Case 4080;4,6,6,7
Case 2947;4,6,6,7
Case 3502;4,6,6,7
Case 2109;4,6,6,7
Case 604;4,6,7
Case 1637;4,6,6,7
Case 3487;4,6,7
Case 4265;4,6,7
Case 3014;4,6,6,7
Case 3026;4,6,7
Case 3754;4,6,7
Case 1226;4,6,6,7
Case 2509;4,6,7
Case 4512;4,9,6,7
Case 2912;4,6,7
Case 4235;4,6,7
Case 248;4,6,6,7
Case 3739;4,6,7
Case 3733;4,6,6,7
Case 893;4,6,7
Case 2661;4,6,6,6,7
Case 1893;4,6,7
Case 742;4,6,7
Case 2433;4,6,7
Case 885;4,6,7
Case 4528;4,6,9,9,6,7
Case 2780;4,6,7
Case 229;4,6,7
Case 1268;4,6,7
Case 1573;4,6,7
Case 128;4,6,6,7
Case 2000;4,6,7
Case 1013;4,6,7
Case 923;4,6,6,7
Case 1984;4,6,7
Case 1544;4,6,7
Case 3484;4,6,7
Case 4388;4,6,7
Case 4097;4,6,7
Case 1686;4,6,6,7
Case 1473;4,6,6,7
Case 2982;4,6,6,7
Case 3623;4,6,6,7
Case 3728;4,4,6,7
Case 3108;4,6,7
Case 3478;4,6,6,7
Case 1645;4,6,7
Case 341;4,6,7
Case 2760;4,6,7
Case 3704;4,6,7
Case 1259;4,6,6,7
Case 2079;4,9,9,6,7
Case 3677;4,6,7
Case 2525;4,4,4,6,7
Case 2852;4,6,7
Case 4578;4,6,7
Case 4110;4,6,7
Case 4204;4,6,6,7
Case 1949;4,6,6,7
Case 2740;4,6,7
Case 2049;4,6,7
Case 1824;4,6,6,7
Case 3297;4,4,6,7
Case 1126;4,6,6,7
Case 76;4,6,7
Case 1325;4,6,7
Case 4191;4,6,6,7
Case 1093;4,6,7
Case 165;4,6,7
Case 1717;4,6,7
Case 35;4,6,7
Case 1443;4,6,7
