workgroup,product,servicetype,seriousness2,activity,resource,supportsection,servicelevel,responsiblesection,lifecycle:transition,timestamp,customer,case
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Schedule intervention,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,RESOLVED,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,INVALID,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,VERIFIED,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,DUPLICATE,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
dummy,dummy,dummy,dummy,Take in charge ticket,dummy,dummy,dummy,dummy,dummy,2013-05-15 10:05:53+00:00,dummy,dummy
Value 2,Value 3,Value 2,Value 2,Assign seriousness,Value 1,Value 1,Value 2,Value 1,complete,2011-11-30 16:32:54+00:00,Value 18,Case 1013
Value 2,Value 3,Value 2,Value 2,Resolve ticket,Value 9,Value 1,Value 2,Value 1,complete,2011-12-12 16:50:49+00:00,Value 18,Case 1013
Value 2,Value 3,Value 2,Value 2,Closed,Value 5,Value 1,Value 2,Value 1,complete,2012-01-13 16:40:37+00:00,Value 18,Case 1013
Value 1,Value 1,Value 1,Value 2,Assign seriousness,Value 1,Value 1,Value 3,Value 1,complete,2013-03-12 09:39:30+00:00,Value 237,Case 1023
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 3,Value 1,complete,2013-03-28 13:14:48+00:00,Value 237,Case 1023
Value 1,Value 1,Value 1,Value 2,Resolve ticket,Value 2,Value 1,Value 3,Value 1,complete,2013-03-28 13:14:48+00:00,Value 237,Case 1023
Value 1,Value 1,Value 1,Value 2,Closed,Value 3,Value 1,Value 3,Value 1,complete,2013-04-12 12:15:06+00:00,Value 237,Case 1023
