epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))","train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))","val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))"
1,3.7708591146147903,0.23287466168403625,0.036961128427256074,0.034705095958864576,inf,3.3665959760192723,0.24785874783992767,0.02319032076754763,0.030460056774119004,1.8688024516502713
2,3.069679040781351,0.2805977165699005,0.028426430357232434,0.02545009883225095,inf,3.0420307970381986,0.2387678474187851,0.029044030548690203,0.029126749045981806,1.6496604645498114
3,3.0087884114543195,0.27953749895095825,0.030116561251891834,0.025283265904080324,inf,2.9212875563964906,0.4536063075065613,0.03279605960918802,0.027066603063899564,1.8470729218811548
4,2.9630284977301025,0.2835110127925873,0.029338072598612472,0.027131581718662725,inf,2.935610076406511,0.2709992527961731,0.023210282722805363,0.02907924163969898,1.8065919111119235
5,2.923344340166016,0.29028910398483276,0.029881883867719086,inf,inf,2.932269380045806,0.3028925657272339,0.021967086926774272,0.032743009198613525,inf
6,2.891332403475417,0.27598080039024353,0.027883884478394218,0.027350790305469677,inf,2.7836714211712517,0.44436514377593994,0.01719102220192859,0.012835297901453728,2.0286680386210327
7,2.8872442692995737,0.28001323342323303,0.025508146525590785,0.027833489682114403,inf,2.864367155092687,0.36194589734077454,0.024849963607088677,0.04716924058289087,1.8119124083959757
8,2.890840710617743,0.27510637044906616,0.02614042704056869,0.02643332946880099,inf,2.883896395841808,0.2605935335159302,0.02667341640288817,0.02752864843474899,1.8381573623878706
9,2.8718426601429705,0.27369728684425354,0.031333498051109826,0.027013063453559902,inf,2.8667380015317234,0.3092035949230194,0.03231822925273292,0.024482945798461542,inf
10,2.8288737983107373,0.28900688886642456,0.030089811855610944,0.02859943889366862,inf,2.8063760616497966,0.3859504163265228,0.022551155982807995,0.02372078844570221,inf
