epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))"
1,0.8322554569099551,0.5010033249855042,inf,inf,0.4594271088314948,0.4759917092100482,0.23193542812472193,0.6253875655548595,0.5053763389587402,inf,inf,0.25853051426254703,0.3641570372002147,0.18190522951500437
2,0.6348593913575756,0.6530658006668091,inf,inf,0.26741617583782873,0.5081974591050192,0.22213215471428133,0.506424517275017,0.6774193644523621,inf,inf,0.23475000122997247,0.33317185562347695,0.3187510075970231
3,0.5208754732369263,0.6749163866043091,inf,inf,0.2891330490602511,0.4470117504351607,0.3054797749653041,0.43602617906632823,0.6774193644523621,inf,0.5160180475110205,0.2518219190223195,0.47977341001278884,0.38553881645202637
4,0.48407050904548055,0.6755852699279785,inf,inf,0.32256762390938876,0.5377760899958209,0.3677069661773254,0.393578299016596,0.6774193644523621,inf,0.6195249579777228,0.21617015945577175,0.45859416622981847,0.3144068595404937
5,0.4058170995422613,0.6773689985275269,inf,inf,0.31855871354308085,0.41799212449064876,0.34659505893136855,0.36578424901605766,0.6792114973068237,inf,inf,0.30713273431653176,0.4421978308775715,0.29996874844916516
6,0.4049619338431648,0.6800445914268494,inf,inf,0.33578316519193563,inf,inf,0.3471604414353861,0.6792114973068237,inf,inf,0.320105120400402,0.4169194988001173,0.17686995279009096
7,0.420640090785085,0.6793757081031799,inf,inf,inf,0.5710402905383957,inf,0.3447353724285821,0.6792114973068237,inf,0.4334367992721985,0.26063198018296857,0.5194719261098131,0.22233545557360782
8,0.3895406500723596,0.6818283200263977,inf,inf,0.3793423259369681,0.5832313967642383,inf,0.3245988140039355,0.6810035705566406,inf,inf,0.3245479860038401,0.45025454726174613,0.21498960312281815
9,0.38142391544044296,0.6822742223739624,inf,inf,0.39874384392087703,0.5354900577357996,0.24467817422385527,0.31674876600225393,0.6827957034111023,inf,0.606262436536985,0.30645350875141464,0.43051477236168406,inf
10,0.36276582152382514,0.6820513010025024,inf,inf,0.3372094235687612,0.5363630602292926,0.222615396760613,0.3128431103775434,0.6810035705566406,inf,inf,0.2930912614982819,0.46974174998630985,0.13816027886399598
