epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=5, count=1))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=5, count=1))"
1,0.6521093600472286,0.2765217423439026,0.28574628275400105,0.5413578969311026,0.17355858227190624,inf,0.90784824216688,0.27272728085517883,0.2282022592183706,0.7170715460906157,0.19763624225113843,inf
2,0.6100699893485103,0.29260870814323425,0.18490930546726558,0.422840290846768,0.23092051495518062,inf,0.8592075528325261,0.33766233921051025,0.17232971014203252,0.5310715598029059,0.2700598900382583,inf
3,0.578000573431899,0.2908695638179779,inf,0.3315614221051512,0.2703827257269712,inf,0.8380706133069219,0.30844154953956604,0.13452322499172106,0.4329020525958087,0.3338023307355675,0.229277710656862
4,0.5707782774101089,0.2760869562625885,0.13190757378252738,0.33001061165879253,0.22585226896460878,inf,0.8289495521300548,0.2759740352630615,0.09848589027250135,0.46530312460822026,0.29545487544021093,inf
5,0.5553872064135476,0.2691304385662079,0.0992443766982527,0.3348479457136326,0.20123665604000382,inf,0.8261574031533422,0.2792207896709442,0.10028905642999185,0.46339448722633153,0.2181221725972923,0.17638920610015457
6,0.5697264027716956,0.27347826957702637,0.08847909335976747,0.3315644839016408,0.1800360806121891,inf,0.8145330983239252,0.2759740352630615,0.0762681232110874,0.4171763110805202,0.30796213488321045,inf
7,0.5842394508003986,0.2465217411518097,0.07327657725491224,0.3422702990080181,0.16986547534453647,0.13138514200576498,0.8155997363296715,0.23376622796058655,0.06665248141900913,0.43781949378348683,0.3711777814739459,0.12431206091030224
8,0.5626247278296077,0.24130435287952423,0.0665617966692395,0.3548323124495346,0.17904387153874837,inf,0.798010920350616,0.23051947355270386,0.05063289534803983,0.4258767205315667,0.31362850259284714,0.11427912357691172
9,0.5665436717974107,0.24913042783737183,0.061849088185104734,0.3157254690225339,0.16891061556359505,inf,0.7986606021185179,0.27272728085517883,0.05248443158091726,0.5149156725084459,0.23027221314810417,0.10239633837261715
10,0.5508868969559467,0.25,0.05465536469716977,0.37039858133157366,0.16422173021604736,0.10208930447065162,0.7903240379449483,0.23376622796058655,0.05154410427486574,0.4826889553585568,0.2855333512699282,0.08794001550287814
11,0.529828404884387,0.23999999463558197,0.04559261770523667,0.3265165788815665,0.15613537176760428,0.08679727888673999,0.8014944638754871,0.23376622796058655,0.04061505540802672,0.5261829350445721,0.24194767426800085,0.08472436424848195
12,0.5203392972160883,0.23999999463558197,0.043668751097292166,0.37469638830939456,0.1676464125336937,0.08697277024160621,0.7836194126992613,0.23376622796058655,0.05162347329629434,0.4648843584833918,0.344864733919904,0.06958103542392319
13,0.5509280241608417,0.239130437374115,0.04008742577454837,0.3420492513880058,0.17930413213367172,0.08424962983673821,0.7936721186380129,0.23376622796058655,0.04036700433573207,0.4402070947595545,0.263652624713408,0.06980106234550476
14,0.5505314244175605,0.23956522345542908,0.042385946611394706,0.3550072453017955,0.1693326207494493,0.07723571570093644,0.7779506634216051,0.26948052644729614,0.04205777475962768,0.4515624175200591,0.3058803043252713,0.08620573217804367
15,0.5224631074531374,0.24913042783737183,0.0488688856211502,0.3495800474908437,0.17410398961530274,0.07148497416329505,0.7794253499926748,0.2759740352630615,0.04141061330163801,0.4727857306196883,0.26840735992064346,0.07803617458085756
16,0.5366094041558802,0.25173914432525635,0.04042893749343924,0.3407815081559134,0.17101731648469418,0.06820674086264722,0.774518501516935,0.2759740352630615,0.027958353931033932,0.4520786195187955,0.2739170328588099,0.06147281744995633
17,0.5248467396495703,0.2460869550704956,0.037942498998245276,0.3533985294996174,0.1696124939036086,0.05305180262223974,0.7721794126807032,0.23051947355270386,0.03799878352799931,0.45376483814136404,0.32261889810497696,0.07004043097431595
18,0.542380269597868,0.24739129841327667,0.038909590988086315,0.3520413060342112,0.17799475030097572,0.0583413012566105,0.7703507663430395,0.22727273404598236,0.03306517377495766,0.5070998861983016,0.24719434251656403,0.07368749299564877
19,0.5193735577659413,0.24478261172771454,0.0426499975658637,0.36984531422017586,0.1462767674178138,0.06637831829197338,0.7738176080826167,0.23376622796058655,0.043180393709524256,0.4927970009881097,0.26787741341300914,0.0596624363113094
20,0.5479313131605222,0.2421739101409912,0.03366914318150292,0.35274219512939453,0.15217146150932248,0.06132490292874581,0.7741606440898534,0.23376622796058655,0.03593793863783012,0.4381512177957071,0.2784760304399439,0.066595164102477
21,0.5197852318679538,0.24347825348377228,0.038604916912995293,0.3328368335911697,0.15687355072773576,0.06718027460150079,0.7737209289460569,0.22727273404598236,0.03988149299009426,0.5083862897512075,0.2571581337298896,0.049699195333429286
22,0.5198923326105335,0.24347825348377228,0.04241799766827115,0.3740610825388055,0.17998315138403953,0.06132588493803766,0.7656715955283191,0.23701298236846924,0.0370244375757269,0.492950439453125,0.309295061875034,0.06094697278899115
23,0.5292605464749911,0.2465217411518097,0.04357111362933303,0.34805775660205573,0.1608111004270803,0.06351566780200434,0.7623410124231029,0.23701298236846924,0.042203770094626655,0.4842952908696355,0.3361366991255734,0.07148438128265175
24,0.5417614588814397,0.23608694970607758,0.037556697663507964,0.33907469909745686,0.14946537486361325,0.05371878330290621,0.7743261468571585,0.23701298236846924,0.03529558632824872,0.44332598351143504,0.32513663051901637,0.055124056903091634
25,0.4953247216642409,0.239130437374115,0.036572398804444406,0.3624005568654914,0.16351874817814205,0.053298271572650595,0.7678285410275331,0.23701298236846924,0.03710012258710088,0.5201419237497691,0.28377796407486944,0.057983167268134454
26,0.523036605484012,0.25,0.03926666083481599,0.3426407148558741,0.17546925125785917,0.052552559683399815,0.7489748564926354,0.2792207896709442,0.0461337667059254,0.4244153692915633,0.30801927741314916,0.0538095852007737
27,0.5259951794795148,0.2543478310108185,0.041168440253503864,0.3443768214693701,0.1742026767423076,0.05469091527530819,0.7590290908072446,0.23051947355270386,0.03169777767883765,0.5073624172726193,0.3074913484019202,0.049556838096799075
28,0.5173232001845419,0.25173914432525635,0.03743069357094821,0.3806565783424572,0.16790990625051164,0.052832381429817964,0.7599422673921328,0.23051947355270386,0.045593023602221464,0.5119767962275324,0.28175997311199036,0.061740141865369434
29,0.5327152334571087,0.24869565665721893,0.03296780538174414,0.35220580594851325,0.14891297131119033,0.0479109557456193,0.7676555743894061,0.23376622796058655,0.027147110249545123,0.43284575359241384,0.3102089080053407,0.043074285661852035
30,0.5175420309469129,0.24739129841327667,0.03213519926842283,0.3394130802316455,0.1609399779644401,0.04888869399530576,0.7564808452451551,0.23701298236846924,0.028870802372694016,0.4816382511242016,0.35092282838918065,0.03735971209165212
31,0.5190821584497526,0.2504347860813141,0.034696671068162384,0.35453404392572735,0.1584579519585964,0.04756756994639269,0.7599106422952704,0.23051947355270386,0.02033141381233125,0.4696631044954867,0.2547832219987302,0.05145486665738595
32,0.5393307045076821,0.25478261709213257,0.03221066698356071,0.35442976797780684,0.16286762845536445,0.04591050566963105,0.7528067162713489,0.2792207896709442,0.02626995973893114,0.4128156094937711,0.32349163535478953,0.041458102899628715
33,0.49908029618206573,0.24434782564640045,0.029865514468053807,0.34105439582785846,0.16854215270392153,0.0437744199116485,0.7595723927826494,0.23376622796058655,0.028676929053019832,0.4234658318596917,0.3145293411169503,0.04383581071286588
34,0.5176358460772826,0.23260869085788727,0.033971995267074666,0.3522187210303211,0.16016992051249246,0.0445462359030097,0.7656670969885748,0.23376622796058655,0.023373211658484227,0.47350300969304265,0.3065668457263225,0.039174656207497056
35,0.5211981776311159,0.24434782564640045,0.030260147865235502,0.36026135446260255,0.1578874763082365,0.044035355890950846,0.7573340829159763,0.23051947355270386,0.028898764099623706,0.49667135444847316,0.21890815045382525,0.04805150628089905
36,0.5102897684622701,0.24043478071689606,0.03638277130742227,0.3786513186067798,0.15343491877278975,0.04728578964599325,0.7500840965155009,0.23051947355270386,0.03369913985197608,0.47161733781969223,0.28853951857702154,0.054317259707966366
37,0.5056957229592399,0.2421739101409912,0.037366358781508555,0.3588774815480049,0.1681970014839302,0.044819189251379975,0.7492223398105519,0.23376622796058655,0.0355762611772563,0.43904394716829864,0.2637817410601152,0.04685550928115845
38,0.5327078111861882,0.2313043475151062,0.03305205925413627,0.3310264601974617,0.15238911095620822,0.04800550925509027,0.7505404675329054,0.23051947355270386,0.03025236917105881,0.45173677238258153,0.3433571832405554,0.04193102226064012
39,0.5046641955654974,0.23695652186870575,0.033250280344425516,0.3501008848180593,0.17565052638839176,0.04632412000908714,0.7505750305749275,0.23051947355270386,0.02630827606127069,0.4287091139200571,0.29732157209435023,0.04605880822684314
40,0.4974353176325003,0.24086956679821014,0.03697106543238985,0.36110668069033147,0.177730040963113,0.04608842857017582,0.7369886705198804,0.23051947355270386,0.041353964825739734,0.42167084925883525,0.3270609968820134,0.05357684476955517
41,0.5054911826634447,0.2421739101409912,0.035193759587503246,0.35143299297080177,0.16448554118339395,0.05019854618859412,0.7337525994391054,0.23051947355270386,0.03622068051953573,0.42944631705412994,0.3703877889626735,0.045670431610700245
42,0.5014956991215108,0.25217390060424805,0.03941960407639197,0.36331327095096505,0.1785358200656133,0.04655735485622555,0.7437656513742499,0.23051947355270386,0.033453699805446574,0.41490194604203506,0.3105556123160027,0.05114082267155518
43,0.5191483172020402,0.2313043475151062,0.03510887230191449,0.36833769113381976,0.16858063347270816,0.046275739910647096,0.7431315006436529,0.22727273404598236,0.03548088307316239,0.4134726588790481,0.3025996823971336,0.04745907396883578
44,0.5023020158801702,0.23739130795001984,0.037123129378959965,0.38141972747440045,0.18123639333227898,0.0453206193973334,0.7417414156166283,0.22727273404598236,0.031478894270352414,0.4069732846440496,0.2603636039672671,0.03722372731646976
45,0.502862068611009,0.2460869550704956,0.03766969122081135,0.34179543396410594,0.17978751750470018,0.04863961048563389,0.7460631027414992,0.22727273404598236,0.028653460378582414,0.4736242809811154,0.29749380152773214,0.05308600575537295
46,0.5119220256451232,0.23826086521148682,0.03863375923629528,0.340879728514796,0.15294231097443198,0.044834877517713145,0.7443770899160488,0.22727273404598236,0.03414598374149284,0.40864144144831477,0.3115688131467716,0.04655243577183904
47,0.5044572850237071,0.23000000417232513,0.03408158073401006,0.354705000976148,0.16683184523736277,0.04218573597574477,0.7395273088603407,0.23051947355270386,0.025032955247002678,0.47723375784384237,0.31063053374354904,0.051508630046973355
48,0.5120519141592275,0.22565217316150665,0.03287739388910336,0.34855715163899603,0.15145443696117564,0.04210243266588156,0.7360973309826206,0.23701298236846924,0.02933204365340439,0.4278603373347102,0.36812055110931396,0.041165173859209626
49,0.48784687242301494,0.23260869085788727,0.03318886076857562,0.3462218784921643,0.17313402450954976,0.04265729270888104,0.7299336927968103,0.23051947355270386,0.031211570207331632,0.4677638363193821,0.2932750925018981,0.06340902520192636
50,0.5120563647490001,0.24173912405967712,0.03319600502784872,0.35533823424567595,0.16024560414267314,0.04506829932509133,0.7320926217613993,0.23051947355270386,0.02591397613286972,0.4875284143396326,0.3121413866410384,0.05690988777457057
51,0.5084919064528671,0.2421739101409912,0.03399885614072123,0.337009873576399,0.1630618499373742,0.04355984389883148,0.737685609508205,0.23051947355270386,0.026796164544853004,0.41297458313606883,0.27521455328206756,0.05155246523586479
52,0.5097342722231747,0.22608695924282074,0.034530358322609866,0.36037848558409713,0.16279692156003164,0.042699831754525776,0.7349546094601219,0.23051947355270386,0.02795858117374214,0.4041076350856472,0.35786169646559535,0.05012592955215557
53,0.5015136159842609,0.24043478071689606,0.03296468597923758,0.33005773838995267,0.1686717399312199,0.04753594355996072,0.7295093749826019,0.23376622796058655,0.02747085499199661,0.4223130200360272,0.37346628831850515,0.04235735455074826
54,0.49786780278731285,0.2317391335964203,0.029499691820913745,0.34100676230542326,0.17467058666290775,0.040774028248616916,0.7246177389815047,0.23051947355270386,0.029905849967051198,0.45003030751202555,0.3651176622590503,0.04640265211865709
