epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))"
1,1.0301341498891512,0.31388887763023376,0.0009322616789076063,0.0005943430794609917,0.0004822889963785807,0.9189281264940897,0.33280423283576965,0.0,6.315443250868055e-06,0.0
2,0.866499858101209,0.32301586866378784,3.4586588541666666e-05,0.00020157496134440105,4.2296780480278865e-05,0.888446299235026,0.3264550268650055,1.2503729926215277e-05,0.0,0.0
3,0.8462475877669122,0.32407405972480774,2.6553206973605685e-05,0.00031987428665161135,1.0671880510118273e-05,0.8713000761138068,0.3301587402820587,0.0,0.0,0.0
4,0.8311730598409971,0.32175925374031067,6.275706821017795e-05,2.4873680538601347e-05,2.353456285264757e-05,0.8541645778550042,0.32592591643333435,0.0,0.0,0.0
5,0.8144486813081635,0.32585978507995605,2.6226043701171877e-07,3.0317571428087023e-05,0.00010650290383232965,0.8325015981992085,0.3275132179260254,0.0,0.0,0.0
6,0.7951969593763352,0.3281745910644531,5.515946282280816e-05,0.0005969511138068305,4.718303680419922e-05,0.8128006339073182,0.3153439164161682,0.0,0.0,8.294847276475694e-05
7,0.7802985664871004,0.3414021134376526,3.037187788221571e-05,0.0003510951995849609,0.00013604826397365993,0.7976713352733188,0.35079365968704224,0.0,0.00048281351725260415,0.0
8,0.7688161798649364,0.3570105731487274,0.0,0.0005270242691040039,0.00010321007834540473,0.7872822668817309,0.3730158805847168,6.3790215386284724e-06,0.0011692894829644098,0.000890668233235677
9,0.7604640669292874,0.36673280596733093,3.626214133368598e-05,0.0019366568989223904,0.002125472492641873,0.7795947743786706,0.38148146867752075,0.0,0.0007239023844401042,0.0010598076714409721
10,0.7536785314480464,0.37149471044540405,4.059208763970269e-05,0.0057802995045979815,0.00034248299068874785,0.7755327992969089,0.38624337315559387,0.0,1.0765923394097223e-05,0.00013796488444010416
11,0.7483405265543196,0.3779100477695465,8.999903996785482e-05,0.002111367384592692,0.0011806170145670573,0.7690538187821706,0.3957671821117401,0.0,0.0031487994723849826,0.00019022623697916667
