epoch,train_loss,train_accuracy,"train_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))",val_loss,val_accuracy,"val_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))"
1,1.0269740796751445,0.322685182094574,0.002805973423851861,0.0004605200555589464,0.0008795486556159125,0.0,0.9195670591460334,0.33280423283576965,0.0001461029052734375,4.738701714409722e-05,0.00018628438313802084,0.0
2,0.866300146943993,0.34596559405326843,0.00030880239274766713,0.00011553499433729384,0.00015441576639811197,0.0,0.8880150371127659,0.3492063581943512,2.5431315104166666e-07,0.0,1.483493381076389e-06,0.0
3,0.8450048501292865,0.35092592239379883,0.000343775749206543,8.086363474527994e-06,9.360710779825847e-05,0.0,0.8706630680296156,0.3433862328529358,2.498626708984375e-05,0.0,0.0,0.0
4,0.8298822845021884,0.3483465611934662,0.00046276913748847116,0.00013480186462402343,2.6939974890814886e-05,0.0,0.8543295635117425,0.3460317552089691,0.0,0.0,0.0,0.0
5,0.8123255621227953,0.3472222089767456,0.0025577346483866372,4.8160552978515625e-05,8.69539048936632e-05,0.0,0.8329747524526384,0.3661375641822815,0.00038909912109375,0.0,0.0,0.0
6,0.7954584219389491,0.34490740299224854,0.0003809478547837999,0.00017962720659044055,7.177193959554037e-05,0.0,0.8126135634051429,0.34497353434562683,0.0,0.0,2.1192762586805556e-06,0.0
7,0.7771285343501303,0.35575395822525024,0.00035618940989176433,7.702112197875977e-05,0.0003397014405992296,0.0,0.7967361549536387,0.34656083583831787,1.3563368055555556e-06,0.0,0.0,0.0
8,0.763653307242526,0.3720238208770752,0.00041497151056925455,0.0005944344732496474,0.00047846767637464737,0.0,0.7810248136520386,0.38042327761650085,0.00023261176215277776,0.0,0.00012204911973741319,0.0
9,0.7549663103289075,0.37433862686157227,0.0006763882107204861,0.00038954019546508787,0.00020498699612087675,0.0,0.7724839369455974,0.3841269910335541,0.0014809502495659722,4.238552517361111e-08,0.0,0.0
10,0.7477255865103669,0.3772486746311188,0.0006599081887139214,0.0003461983468797472,0.0012452509668138291,0.0,0.7652919173240662,0.3931216895580292,0.0002822664048936632,0.0011932584974500868,0.0,0.0
11,0.7461121522718006,0.37843915820121765,0.0008968803617689344,0.0003143098619249132,0.00463227563434177,0.0,0.7642605357699924,0.3857142925262451,0.00019849141438802083,0.0010910669962565104,0.0,0.0
12,0.7405686937272549,0.38062170147895813,0.0006457726160685221,0.00014788044823540582,0.0051491631401909725,0.0,0.7578385988871257,0.3936507999897003,0.0007150226169162327,0.048173247443305124,9.80377197265625e-05,0.0
13,0.7396275086121427,0.38227513432502747,0.00292431910832723,0.0001947442690531413,0.0005680110719468858,0.0,0.7892092920011944,0.34391534328460693,3.178914388020833e-07,0.0,8.477105034722223e-08,0.0
14,0.733788592616717,0.38320106267929077,0.004109021027882894,0.0130823638704088,0.0011076688766479491,0.0,0.7581457330120934,0.39629629254341125,0.00043048858642578123,0.00011268191867404513,0.00021080440945095487,0.0
15,0.7345878704968426,0.3888888955116272,0.0033349288834465876,0.0008924749162462023,0.0007697886890835232,0.0,0.7517027954260508,0.40317460894584656,0.00024814605712890624,0.0,6.306966145833334e-05,0.0
16,0.7671077413277494,0.3693121671676636,0.004423242145114475,0.0013564003838433159,0.0010412732760111492,0.0,0.7528854413164987,0.40529099106788635,0.00018649631076388888,0.0,0.014821200900607638,0.0
17,0.7319248949074083,0.38326719403266907,0.00379041764471266,0.0013037343819936116,0.0018326282501220704,0.0,0.7526068306631513,0.3936507999897003,0.00017261505126953125,1.3457404242621529e-06,0.0,0.0
18,0.7348191938466496,0.3788359761238098,0.0027969896793365477,0.007668235566880968,0.002860936853620741,0.0,0.7497744861576292,0.3920634984970093,0.0017643610636393229,0.0,0.00010401407877604166,0.0
19,0.7238916566388475,0.3929894268512726,0.002577295568254259,0.002734089559978909,0.01264050801595052,0.0,0.759943817059199,0.3719576597213745,0.00024710761176215275,0.00021739535861545138,3.178914388020833e-07,0.0
20,0.743791224517756,0.3730820119380951,0.0011881106429629856,0.004564632309807672,0.0009872443146175809,0.0,0.7479891661140654,0.40529099106788635,1.7102559407552084e-05,0.0,8.265177408854167e-07,0.0
21,0.7761526350759798,0.36937829852104187,0.0006347735722859701,0.00041780471801757815,0.004222958617740207,0.0,0.7500537630584505,0.4010581970214844,0.0002863778008355035,4.344516330295139e-05,0.0021275096469455294,0.0
22,0.7234854450656308,0.3827380836009979,0.0024209492736392553,0.000779928101433648,0.007017570071750217,0.0,0.747569508685006,0.38042327761650085,0.0004719204372829861,1.2715657552083333e-06,4.9591064453125e-05,0.0
23,0.7240852150238223,0.38458994030952454,0.0007139874829186334,0.003203153610229492,0.0030054165257347954,0.0,0.7427148961358601,0.3947089910507202,0.0013815032111273871,0.00011639065212673612,2.1192762586805554e-07,0.0
24,0.7334078837600019,0.3818121552467346,0.002328235573238797,0.0002287573284573025,0.005015300379859077,0.0,0.8712430510256025,0.3333333432674408,0.00019327799479166666,0.0,0.0018208609686957465,0.0
25,0.7305361562305026,0.38029101490974426,0.0036432312594519723,0.0020083235369788275,0.002805989318423801,0.0,0.7477086891730627,0.3857142925262451,0.0001667446560329861,0.0,0.0009328206380208333,0.0
26,0.7413268843458758,0.38121694326400757,0.000915678342183431,0.0018687314457363552,0.003824313481648763,0.0,0.8590286374092102,0.35873016715049744,0.00021114349365234376,0.0,0.00021991729736328124,0.0
27,0.7309257595075501,0.3811507821083069,0.0022438645362854006,0.006073515945010715,0.0026769902971055773,0.0,0.7428801927301619,0.3936507999897003,2.40325927734375e-05,0.0011431270175509983,0.0048506206936306424,0.0
28,0.7334441401892238,0.3767857253551483,0.007976328664355808,0.0024020916885799833,0.003332071171866523,0.0,0.7462709198395411,0.3978835940361023,0.0006414837307400173,4.874335394965277e-07,0.003286721971299913,0.0
29,0.7357426587906148,0.3718253970146179,0.002629861566755507,0.007861710919274224,0.002081126636928982,0.0,0.7433747748533884,0.3978835940361023,0.0008895238240559896,0.010766612158881294,0.0042714012993706595,0.0
30,0.7414514519688156,0.38148146867752075,0.004731255107455783,0.0012843933370378282,0.0024416916900210912,0.0,0.8874044623639848,0.35767194628715515,0.00014318890041775174,0.0007630666097005208,7.650587293836805e-06,0.0
31,0.7622278056624863,0.37552911043167114,0.005746148692237006,0.003612326913409763,0.0009263217449188233,0.0,0.8429162432750066,0.35978835821151733,0.0,0.0,7.916556464301215e-05,0.0
32,0.7354045619153314,0.37632274627685547,0.0014042761590745713,0.004308779372109307,0.0033973223633236354,0.0,0.7453166653712591,0.391005277633667,0.0019552866617838544,0.0008108139038085938,7.733239067925347e-05,0.0
33,0.7452592214362489,0.37665343284606934,0.0006674680444929335,0.0015968872441185845,0.008021179835001628,0.0,0.7461051421033011,0.39523810148239136,0.0002998775906032986,2.528296576605903e-05,0.0018209139506022134,0.0
