epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
1,1.3207953706383706,0.17228835821151733,0.9689448674519857,0.003753730985853407,0.009005856513977051,inf,inf,0.39100545247395835,1.4258190274238587,0.03862433880567551,0.5697128295898437,0.0051636166042751735,0.010277599758572049,inf,inf,0.2583274841308594
2,1.4009281325671408,0.028306879103183746,0.38386182520124645,0.004957503742641873,0.008404858907063802,inf,inf,0.16866211626264785,1.4975763837496439,0.019576719030737877,0.29697129991319443,0.006212827894422743,0.0070040384928385414,inf,0.8529410044352214,0.13571595085991753
3,1.4235615625977516,0.029232803732156754,0.2847295231289334,0.006051015853881836,0.007532903883192274,inf,inf,0.12997537453969318,1.5098058740297953,0.026455026119947433,0.25623508029513886,0.007169002956814236,0.009785376654730903,inf,0.7485318501790365,0.11075363159179688
4,1.4341874164011743,0.018518518656492233,0.2521563450495402,0.006038771735297309,0.007131104999118381,inf,inf,0.11592940224541558,1.5102851231892904,0.012698412872850895,0.2066465589735243,0.006034723917643229,0.006561703152126736,inf,0.7322642856174045,0.10435443454318577
5,1.4374385269151793,0.01984127052128315,0.24256907304128011,0.0065572526719835066,0.009622836112976074,inf,inf,0.11445267730289035,1.5237178564071656,0.031216930598020554,0.2325961218939887,0.008143276638454862,0.010853364732530383,inf,0.7093182033962674,0.11255260043674045
6,1.444771978755792,0.01646825484931469,0.23741760783725316,0.006578935517205132,0.009514066908094618,inf,0.762013045946757,0.1059365193049113,1.5238109125031365,0.029100529849529266,0.23704715304904514,0.008043628268771702,0.012167188856336806,inf,0.7734344482421875,0.1013517591688368
7,1.4490950524806976,0.021891534328460693,0.2214676856994629,0.007521812121073405,0.008084954155815973,inf,0.7231258127424453,0.10118355221218533,1.5205827739503648,0.030687831342220306,0.21256319681803384,0.0060977935791015625,0.008528349134657118,inf,0.6856307559543185,0.09356189303927952
8,1.4394108745786878,0.010582010261714458,0.2127954403559367,0.005555831061469184,0.0077178637186686196,inf,0.738498936759101,0.10511651039123535,1.514504853884379,0.0,0.21166598002115886,0.006113772922092014,0.0046588473849826385,inf,0.726862080891927,0.09614694383409288
9,1.4479796033766534,0.018783068284392357,0.2022077136569553,0.006417014863755968,0.008346610599093966,inf,0.7007997459835477,0.10063233640458849,1.5281404256820679,0.032275132834911346,0.19513626098632814,0.0069565243191189235,0.008843824598524305,inf,0.6400975545247396,0.08573167588975694
10,1.4421338746945063,0.02361111156642437,0.20968980789184571,0.005291247367858886,0.007374805874294705,inf,0.7066216389338176,0.10079556571112738,1.509704499774509,0.01904761977493763,0.2023652818467882,0.005355453491210938,0.006654612223307292,inf,0.684502453274197,0.10192782084147135
