epoch,train_loss,train_accuracy,"train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))",val_loss,val_accuracy,"val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))"
1,1.1093408281604449,0.35654762387275696,1.7127866903940836,1.643126016192966,inf,inf,1.003491595056322,0.3772486746311188,1.8133370717366537,2.0557247585720484,inf,inf
2,0.9309904048840205,0.36243385076522827,2.141416949696011,2.28926502333747,inf,inf,0.9397194531228807,0.3719576597213745,2.4309204949273004,2.5961029052734377,inf,inf
3,0.8944581160942714,0.35939154028892517,2.377290455500285,2.3430578231811525,inf,inf,0.9135945757230123,0.3719576597213745,2.107271660698785,2.2643561469184026,inf,inf
4,0.8734912347462442,0.3619709014892578,inf,2.499152750439114,inf,inf,0.8975673185454475,0.3730158805847168,2.1074005126953126,2.1999522738986546,inf,inf
5,0.8567381218075752,0.3628306984901428,2.3325259976916843,2.391630909177992,inf,inf,0.8811910695499844,0.3740740716457367,2.102469889322917,2.217922804090712,inf,inf
6,0.8419997160633405,0.36058202385902405,2.2343544907040065,2.429832527372572,inf,inf,0.8683238678508335,0.36455026268959045,2.266107601589627,1.9202582041422527,inf,inf
7,0.8267712068226603,0.35972222685813904,2.318375672234429,2.3511185963948567,inf,inf,0.8483489036560059,0.3730158805847168,2.348667738172743,2.588417477077908,inf,inf
8,0.8105143138104015,0.3621693253517151,2.296271954642402,2.5151150120629207,inf,inf,0.8347889330652025,0.3719576597213745,2.2844057718912762,2.593464575873481,inf,inf
9,0.7971224152379566,0.3630290925502777,inf,2.460162623723348,inf,inf,0.8223584426773919,0.3698412775993347,2.243097686767578,2.3359759436713325,inf,inf
10,0.7856012703643904,0.36541005969047546,2.291971116595798,2.535498963461982,inf,inf,0.8108978867530823,0.3751322627067566,2.1808636135525172,2.060840606689453,inf,inf
11,0.7766361653804779,0.3671296238899231,inf,2.4420831468370228,inf,inf,0.7995407687293159,0.37671956419944763,1.937660386827257,2.4390228271484373,inf,inf
12,0.768187658323182,0.37552911043167114,inf,2.6507808208465575,inf,inf,0.7929875049326155,0.38941797614097595,inf,2.060308583577474,inf,inf
13,0.7599372501174609,0.3782407343387604,inf,inf,inf,inf,0.7826209591494666,0.3947089910507202,2.029658635457357,2.258232413397895,inf,inf
14,0.7514033764600754,0.3840608596801758,inf,inf,inf,inf,0.7725340677632226,0.4047619104385376,2.098598353068034,2.26866455078125,inf,inf
15,0.7439348508914312,0.38538360595703125,inf,inf,inf,inf,0.7666650030348036,0.40317460894584656,2.1401983896891275,2.288277435302734,inf,inf
16,0.736510176377164,0.39351850748062134,inf,inf,inf,inf,0.7584629694620768,0.41428571939468384,2.2387628343370225,2.018036354912652,inf,inf
17,0.7297640749149852,0.39431217312812805,inf,inf,inf,inf,0.7521959622701009,0.3957671821117401,inf,2.4210745917426215,inf,inf
18,0.723868728760216,0.3956349194049835,inf,inf,inf,inf,0.7454605711830987,0.4126984179019928,inf,2.196685706244575,inf,inf
19,0.7180949327846368,0.3966269791126251,inf,inf,inf,inf,0.74019196761979,0.4148148000240326,2.1867911444769965,1.9339399549696181,inf,inf
20,0.7134203281667497,0.39947089552879333,inf,inf,inf,inf,0.7353796283404033,0.40317460894584656,1.9078934987386067,2.0901618109809026,inf,inf
21,0.7086619400315814,0.4025132358074188,inf,inf,inf,inf,0.7310653938187494,0.4100528955459595,1.8882403903537326,2.3516441345214845,inf,inf
