epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
1,1.1046856964627902,0.3296296298503876,1.943697452545166,0.0006707191467285156,inf,inf,1.4232059982087877,1.0138118041886224,0.3433862328529358,3.354862806532118,4.026624891493056e-06,inf,inf,2.388469484117296
2,0.9493049206005202,0.34166666865348816,inf,6.659295823838976e-05,inf,inf,2.642961401409573,0.9643543018235101,0.3613756597042084,inf,9.282430013020833e-06,inf,inf,2.507501390245226
3,0.9177590414881707,0.34980159997940063,inf,3.9876831902398005e-05,inf,inf,2.8129296514723037,0.942555312315623,0.3285714387893677,inf,4.38690185546875e-06,inf,inf,2.522353278266059
4,0.8985384318563673,0.35171958804130554,inf,2.296500735812717e-05,inf,inf,2.611742358737522,0.9232577906714545,0.3571428656578064,inf,6.230672200520833e-06,inf,inf,2.638310750325521
5,0.8814329509933789,0.35072749853134155,inf,3.340774112277561e-05,inf,inf,2.670959782600403,0.9041881389088101,0.32910051941871643,inf,0.0,inf,inf,2.7702430725097655
6,0.8652176909976536,0.3531745970249176,inf,9.20044051276313e-05,inf,inf,inf,0.889485604233212,0.3619047701358795,inf,3.7299262152777777e-06,inf,inf,2.671438217163086
7,0.8506959423422813,0.3502645492553711,inf,4.699097739325629e-05,inf,inf,inf,0.8722439673211839,0.35449734330177307,inf,0.0,inf,inf,3.015153418646918
8,0.8369848743081093,0.35284391045570374,inf,2.0398033989800346e-07,inf,inf,inf,0.8616438733206855,0.36349207162857056,inf,0.0,inf,inf,3.309132300482856
9,0.8264155719015334,0.35674601793289185,inf,6.282064649793837e-05,inf,inf,inf,0.8531632290946113,0.3730158805847168,2.657899644639757,0.00039308336046006947,inf,inf,inf
10,0.8181671538286739,0.3678571283817291,inf,4.365709092881944e-06,inf,inf,inf,0.8397335059112973,0.3857142925262451,inf,0.0,inf,inf,2.7530611673990886
11,0.8088764598800077,0.3731481432914734,inf,0.00013431575563218858,inf,inf,inf,0.8313483960098691,0.3931216895580292,inf,1.678466796875e-05,inf,inf,inf
12,0.8018038453327285,0.37268519401550293,inf,0.00011015070809258354,inf,inf,inf,0.8242090231842465,0.4047619104385376,inf,0.0,inf,inf,inf
13,0.7960866053071287,0.3709656000137329,inf,0.00018707911173502603,inf,inf,inf,0.8195347156789567,0.39047619700431824,inf,0.0,inf,inf,inf
14,0.7908672470185492,0.3839285671710968,inf,8.77327389187283e-05,inf,inf,inf,0.8116507371266682,0.41428571939468384,inf,0.0,inf,inf,inf
15,0.7844706836673948,0.3828703761100769,inf,0.00022334390216403538,inf,inf,inf,0.8073523918787638,0.39629629254341125,inf,0.0,inf,inf,inf
16,0.7796448955105411,0.3810185194015503,inf,0.00025136868158976236,inf,inf,inf,0.8011549207899306,0.4100528955459595,inf,0.00013745625813802083,inf,inf,inf
17,0.7755878416200479,0.38955026865005493,inf,0.00025533702638414174,inf,inf,inf,0.7965746336513095,0.4089947044849396,inf,0.008441522386338976,inf,inf,inf
18,0.768788400457965,0.391005277633667,inf,0.00029115676879882814,inf,inf,inf,0.7913556271129184,0.40634921193122864,inf,0.0,inf,inf,3.0712190839979385
19,0.7664188486834367,0.3828042447566986,inf,0.00011216402053833008,inf,inf,inf,0.7870970196194119,0.41640210151672363,inf,6.508297390407986e-05,inf,inf,inf
20,0.7624361193014516,0.3906745910644531,inf,0.0006448494063483344,inf,inf,inf,0.7853220376703475,0.386772483587265,inf,2.1192762586805556e-06,inf,inf,inf
