epoch,train_loss,train_accuracy,"train_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","train_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))",val_loss,val_accuracy,"val_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","val_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))"
1,1.2814189377758238,0.294775128364563,0.003245152367485894,1.1597869661119249,inf,inf,inf,1.3334590832392375,0.3142857253551483,0.0016857994927300347,0.9320405324300131,inf,inf,inf
2,1.2828368971745172,0.3095899522304535,0.0019993490642971463,0.8367364194658068,inf,inf,inf,1.3373440901438396,0.3164021074771881,0.001789644029405382,0.7800381978352865,inf,inf,inf
3,1.2861463051703241,0.316732794046402,0.002140837245517307,0.7451878415213691,inf,inf,inf,1.3381609121958415,0.3343915343284607,0.002318149142795139,0.7328394995795355,inf,inf,inf
4,1.2869505501455731,0.3245370388031006,0.002157931857638889,0.7436496602164374,inf,inf,inf,1.339906268649631,0.33492064476013184,0.002063963148328993,0.7262184566921658,inf,inf,inf
5,1.2883409359388882,0.32989418506622314,0.002196942435370551,0.7378089878294203,inf,inf,inf,1.3407434079382154,0.32380953431129456,0.001978853013780382,0.7188518524169922,inf,inf,inf
6,1.2881091627809735,0.32691797614097595,0.002417037222120497,0.7461789740456475,inf,inf,inf,1.3410054829385545,0.33968254923820496,0.002506722344292535,0.7521210564507379,inf,inf,inf
7,1.2888450811306635,0.3292989432811737,0.0021197663413153756,0.7090655777189466,inf,inf,inf,1.340148237016466,0.33862432837486267,0.0019218020968967014,0.6884793599446615,inf,inf,inf
8,1.285800719757875,0.33373016119003296,0.0021370569864908855,0.7150777551862929,inf,inf,inf,1.3366520855161879,0.3423280417919159,0.002168952094184028,0.7044091966417101,inf,inf,inf
9,1.2844208329916,0.32797619700431824,0.002093447579277886,0.7001909467909071,inf,inf,inf,1.3367718829049005,0.3423280417919159,0.0012157440185546875,0.6995733049180772,inf,inf,inf
10,1.2842158468233213,0.33783069252967834,0.002352966202629937,0.7219000048107571,inf,inf,inf,1.3378131641281976,0.34074074029922485,0.001983854505750868,0.7103855556911892,inf,inf,inf
11,1.2860393851995469,0.3334656059741974,0.002056172158983019,0.6837648683124118,inf,inf,inf,1.3404211693339878,0.341269850730896,0.0018173641628689236,0.6503584543863933,inf,inf,2.0878305223253038
12,1.2867698378033108,0.3364417850971222,0.0023591094546847875,0.6669629255930583,inf,inf,inf,1.3383050322532655,0.341269850730896,0.0015391455756293402,0.6642483181423611,inf,inf,inf
13,1.286079910231961,0.33458995819091797,0.0020516342586941187,0.6736640453338623,inf,inf,inf,1.338430074850718,0.3433862328529358,0.0021031273735894096,0.6964739057752821,inf,inf,inf
14,1.286323133442137,0.3363095223903656,0.002040317323472765,0.6828419393963284,inf,inf,inf,1.3394164416525098,0.3402116298675537,0.0020737118191189235,0.6977082146538629,inf,inf,inf
15,1.2868908433450592,0.33498677611351013,0.002319791581895616,0.6918267303042942,inf,inf,inf,1.337425125969781,0.3402116298675537,0.0015470716688368055,0.6797002580430772,inf,inf,inf
16,1.284464387098948,0.33697089552879333,0.002258141835530599,0.6801809734768338,inf,inf,inf,1.3372274822658963,0.34074074029922485,0.0025891198052300345,0.7018492804633246,inf,inf,inf
17,1.2841005810432964,0.3363095223903656,0.002394225862291124,0.6895979245503744,inf,inf,inf,1.3351754162046645,0.35079365968704224,0.002015135023328993,0.7171137915717231,inf,inf,inf
18,1.2842478204104635,0.336177259683609,0.002425691816541884,0.7008244434992472,inf,inf,inf,1.336373836464352,0.3402116298675537,0.002335230509440104,0.656347147623698,inf,inf,inf
19,1.2839350154002507,0.3364417850971222,0.002450238333808051,0.6805142614576551,inf,inf,inf,1.3384926597277322,0.3391534388065338,0.0021577623155381942,0.705656984117296,inf,inf,inf
20,1.2853533344136343,0.334457665681839,0.002186780505710178,0.694606810145908,inf,inf,inf,1.33698028061125,0.35555556416511536,0.002133517795138889,0.6986995273166232,inf,inf,inf
